span	freq	ascii_variant	contexts
Bahuka	2	Bahuka	arika Bharadvaja in these stanzas: [19] Bahuka and Adhikakka , [20] Gaya and Sundarika | What can the Payaga and the Bahuka?
Bathed	2	Bathed	"Bathed with the inner bathing" (sinato antaren | ...of the gods Bathed in their own Prosperity...
Beautiful	2	Beautiful	the Beautiful devas ... | Similarly, the "Beautiful devas" encompass the devas of Limited B
Becoming	2	Becoming	ng, II/B and III/G , and The Paradox of Becoming, Chapter 6 . | ernment-release as its fruit & reward." Becoming "Friend, how many kinds of becoming are
Bhagavā	2	Bhagava	5] has made an end of dukkha." Thus the Bhagavā said. | e bhikkhus rejoiced at the words of the Bhagavā.
Bhaggava	2	Bhaggava	e entered Rajagaha , went to the potter Bhaggava , and on arrival said to him, "If it is | im, "If it is no inconvenience for you, Bhaggava, I will stay for one night in your shed
Bhikkhu Ñanamoli	2	Bhikkhu Nanamoli	Middle Length Discourses of the Buddha (Bhikkhu Ñanamoli and Bhikkhu Bodhi, trans.; Boston: Wisd | followed here a suggestion of the late Bhikkhu Ñanamoli, rendering it by "assumption" [see The
Bhumija	2	Bhumija	rounds for criticizing me?" "Certainly, Bhumija, in answering in this way when thus ask | "Bhumija, if these four similes had occurred to
Black Rock	2	Black Rock	Mountain, a number of Niganthas were at Black Rock on the slopes of Isigili , practicing c | m seclusion, I went to the Niganthas at Black Rock on the slopes of Isigili and on arrival
Body	2	Body	Reflection on the Repulsiveness of the Body "And further, O bhikkhus, a bhikkhu ref | The Contemplation of the Body 1.
Body And	2	Body And	The Postures of the Body And further, monks, a monk knows, when he i | Reflection on the Repulsiveness of the Body And further, monks, a monk reflects on this
Brahma Sanankumara	2	Brahma Sanankumara	And by the Brahma Sanankumara this verse was said: 'The noble warrior | vine.' "This verse was well-sung by the Brahma Sanankumara, not ill-sung; well-said, not ill-said;
Brahma-world	2	Brahma-world	Thus the brahmans declare the Brahma-world to be the goal, the great ascetics decl | , Brahma Sahampati disappeared from the Brahma-world and reappeared in front of me.
Buddhism	2	Buddhism	to some common misunderstandings about Buddhism alive today. | of the great ironies in the history of Buddhism is the extent to which teachings that t
Buddhist Publication Society	2	Buddhist Publication Society	Buddha's Ancient Path, Piyadassi Thera, Buddhist Publication Society. | 19 (Buddhist Publication Society, Kandy)].
Cessation	2	Cessation	this: 'The recluse Gotama speaks of the Cessation of Perception and Feeling and describes | The state of Cessation of Perception and Feeling is a 'pleasur
Clear	2	Clear	wakening, and on seeing me said to me, 'Clear, my friend, are your faculties. | lies on the other side of ignorance?" "Clear knowing lies on the other side of ignor
Clinging	2	Clinging	The Five Aggregates of Clinging "And, further, O bhikkhus, a bhikkhu li | and has arrived at this true Dhamma." Clinging 32.
Contented	2	Contented	the Contented devas... | ...of the Contented gods...
Cowherd	2	Cowherd	the end of the Shorter Discourse on the Cowherd, where the Buddha develops the simile o | he newborn calf in the Discourse of the Cowherd is not carried across the flood on some
Dasama	2	Dasama	Now on that occasion Dasama the householder from Atthakanagara had | on of nothingness.] When this was said, Dasama the householder from Atthakanagara said
Death	2	Death	The rich & the poor touch the touch of Death. | arrived at this true Dhamma." Aging and Death 20.
Desire-passion	2	Desire-passion	this being the case — he discerns that 'Desire-passion for the five strings of sensuality has | this being the case — he discerns that 'Desire-passion for the five strings of sensuality has
Dhamma King	2	Dhamma King	munity of seers, where there dwells the Dhamma King: the source of rapture for me. | munity of seers, where there dwells the Dhamma King: the source of rapture for me.
Dhamma.'	2	Dhamma.'	e will be those who will understand the Dhamma.' "That is what Brahma Sahampati said. | id not tell people the refined, sublime Dhamma.' "Then Brahma Sahampati, thinking, 'The
Dhamma.' Then	2	Dhamma.' Then	He will quickly understand this Dhamma.' Then devas came to me and said, 'Lord, Alara | He will quickly understand this Dhamma.' Then devas came to me and said, 'Lord, Uddak
Discourses	2	Discourses	old division of the codified teaching: "Discourses, mixed prose and verse, prose expositio | ere (from Bhikkhu Bodhi's Middle Length Discourses of the Buddha ) for the sake of complet
Disease	2	Disease	the Dhamma — 'This is that freedom from Disease; this is that Unbinding' — and you on y | our part were to know that freedom from Disease and see that Unbinding, then together w
Due	2	Due	be long for my welfare and happiness?' Due to having performed and completed such | be long for my welfare and happiness?' Due to having performed and completed such
Earth	2	Earth	The Perception of Earth "Further, Ananda, the monk — not attend | , I wasn't coming from earth, I wasn't "Earth is mine." I didn't affirm earth.
Eastern Park	2	Eastern Park	Ananda, "Ananda, let's go to the Eastern Park, the palace of Migara's mother , for th | Ananda, went to the Eastern Park, the palace of Migara's mother, for the
Elder	2	Elder	Ānanda the Elder [2] the entirety of his discussion with | Ānanda is called Ānanda the Elder.
Ending	2	Ending	See also: AN 4.235 ; " Kamma and the Ending of Kamma " in The Wings to Awakening (T | ections on Skillfulness and Kamma & the Ending of Kamma in that book.
Enter	2	Enter	ting for me, not knowing that, to say, 'Enter & remain in that sort of pleasant feeli | lful qualities grow,' I therefore say, 'Enter & remain in that sort of pleasant feeli
Ever	2	Ever	[2] Ever since I shaved my hair & beard, put on | [3] Ever mindful he breathes in, mindful he brea
Exhort	2	Exhort	he was standing there she said to him, "Exhort the nuns, lord. | Nandaka: "Exhort the nuns, Nandaka.
Factors	2	Factors	be removed through cultivation [of the Factors of Enlightenment]. | be removed through cultivation [of the Factors of Enlightenment] 27.
Five	2	Five	ana, and with how many is it endowed?" "Five factors are abandoned in the first jhan | ir." The Blessed One spoke as follows: "Five things should be reflected on from time
Four Ariya Truths	2	Four Ariya Truths	ilement of lack of comprehension of the Four Ariya Truths through Magga Insight; (IV) diṭṭhāsava | ce; the defilement of ignorance (of the Four Ariya Truths).
Four Kings	2	Four Kings	to heavenly birth (from the gods of the Four Kings up to the gods that Wield Power over ot | ppear in the company of the gods of the Four Kings!' it is possible that on the dissolutio
Friend Samiddhi	2	Friend Samiddhi	s said, the venerable Ananda told him: "Friend Samiddhi, this conversation should be told to th | Ānanda said to him, "Friend Samiddhi, there is warrant here for seeing the B
Get	2	Get	hapala's friends went to him and said, "Get up, Ratthapala. | r makes him do a further task, saying: 'Get up, sit down.' When, Aggivessana, the k
Ghata	2	Ghata	ks, was making robes at the dwelling of Ghata the Sakyan. | m seclusion and went to the dwelling of Ghata the Sakyan .
Gijjhakuta	2	Gijjhakuta	Do you, monks, see this Gijjhakuta mountain?" "Yes, bhante." "There was an | There was another name, monks, for this Gijjhakuta mountain, another designation.
Give	2	Give	that Master Ratthapala." Then, saying, "Give away all the staple and non-staple food | Come Mallika: Give me the ablution water." Then King Pasen
Going	2	Going	"Going to Niganthas who teach in this way, I h | in the Buddha's Dispensation, even the Going for Refuge is a basis for the supramund
Going-forth	2	Going-forth	ell-gone, and right there requested the Going-forth. | He gives them the Going-forth.
Great Forty	2	Great Forty	"This Dhamma discourse on the Great Forty has been set rolling and cannot be stop | think that this Dhamma discourse on the Great Forty should be censured & rejected.
Great Forty Dhamma	2	Great Forty Dhamma	lative or brahman might think that this Great Forty Dhamma discourse should be censured & rejected | lative or brahman might think that this Great Forty Dhamma discourse should be censured & rejected
Greed	2	Greed	tle Ragapeyyala, the Repetitive Text on Greed (etc.). | Dhamma taught by the Blessed One thus: 'Greed is a defilement of the mind; aversion i
Greek	2	Greek	parallel is "ascesis," derived from the Greek askeuein, to scratch. | Thus it seems appropriate to adopt the Greek label for him.
Harmlessness	2	Harmlessness	Comy.: "Harmlessness is called 'effacement,' because it effa | "Harmlessness (i.e., the principle of non-violence) h
Heat	2	Heat	mains standing in dependence on what?" "Heat remains standing in dependence on vital | And just now we understood you to say, 'Heat remains standing in dependence on vital
Herein	2	Herein	Section 810: "Herein, the Tathagata comprehends that there a | Section 811: "Herein, the Tathagata comprehends thus: 'This
Hot Ashes Hell	2	Hot Ashes Hell	next to the Excrement Hell is the vast Hot Ashes Hell. | "Right next to the Hot Ashes Hell is the vast Simbali Forest, [with trees
I've	2	I've	In the past I've chased & seized even a swift-running el | That's how I've stopped and you haven't." [Angulimala:]
If Gotama	2	If Gotama	ks had been attending on me, thinking, 'If Gotama, our contemplative, achieves some highe | unendearing & disagreeable to others?' If Gotama the contemplative, thus asked, answers,
Ignorance	2	Ignorance	and has arrived at this true Dhamma." Ignorance 64. | neither-pleasant-nor-painful feeling?" "Ignorance lies on the other side of neither-pleas
Immeasurable Beauty	2	Immeasurable Beauty	the devas of Immeasurable Beauty... | e devas of Limited Beauty, the devas of Immeasurable Beauty, and the Beautiful Black devas.
Immeasurable Radiance	2	Immeasurable Radiance	the devas of Immeasurable Radiance... | devas of Limited Radiance, the devas of Immeasurable Radiance, and the devas of Streaming Radiance.
Impermanent	2	Impermanent	poreality permanent or impermanent?" — "Impermanent, Lord." — "And what is impermanent, is | permanent or impermanent?" — "Impermanent, Lord." — "And what is impermanent, is
Indian	2	Indian	In ancient Indian medicine, a variety of illnesses — such | a has had a wide variety of meanings in Indian thought, with only one constant: in Bud
Instead	2	Instead	the cessation of perception & feeling.' Instead, the way his mind has previously been d | the cessation of perception & feeling.' Instead, the way his mind has previously been d
Jeta Grove	2	Jeta Grove	ss, sticks, branches and leaves in this Jeta Grove, or burnt them or did with them what th | lted one was living at Saavatthi in the Jeta Grove, Anaathapi.n.dika's monastery.
Joyful	2	Joyful	that joy of which the ariyans [7] say: 'Joyful lives he who has equanimity and is mind | son that joy of which the ariyans say: 'Joyful lives he who has equanimity and is mind
Kaccana	2	Kaccana	hould have remembered it." "Yes, friend Kaccana: knowing, the Blessed One knows; seeing | hould have remembered it." "Yes, friend Kaccana: knowing, the Blessed One knows; seeing
Kammasadamma	2	Kammasadamma	Blessed One was living in the Kurus, at Kammasadamma, a market-town of the Kuru people. | ssed One was living among the Kurus, at Kammasadamma, a market town of the Kuru people.
Kammasadhamma	2	Kammasadhamma	Now there is a town of the Kurus called Kammasadhamma. | Now there is a town of the Kurus called Kammasadhamma .
Karma	2	Karma	te a recent book devoted to the topic, "Karma is the moral principle that governs hum | re on these points, see the articles, " Karma ," " A Refuge in Skillful Action ," and
Kassapa	2	Kassapa	gi , Angirasa , Bharadvaja , Vasettha , Kassapa & Bhagu : was there even one of these w | anon — most notably in the story of the Kassapa brothers (Mv.I.15-22) and that of Angul
King Ajātasattu Vedehiputta	2	King Ajatasattu Vedehiputta	ng — such as King Pasenadi of Kosala or King Ajātasattu Vedehiputta of Magadha — wield the power in his own | ing such as King Pasenadi of Kosala, or King Ajātasattu Vedehiputta of Magadha.
King Koravya's Migacira	2	King Koravya's Migacira	There he stayed in Thullakotthita in King Koravya's Migacira [garden]. | Ratthapala went to King Koravya's Migacira.
King Pasenadi's	2	King Pasenadi's	And at that time in King Pasenadi's realm there was a bandit named Angulima | There are passages in MN 90 where King Pasenadi's sentences don't quite parse, and perhap
Licchavi-son	2	Licchavi-son	Then Dummukha [BadMouth] the Licchavi-son — sensing that Saccaka the Nigaṇṭha-son | a the Nigaṇṭha-son said to Dummukha the Licchavi-son, "Just you wait, Dummukha.
Like	2	Like	who teaches the teaching of the wise." Like the sophists ("wisdom-ists") of Greece | s is how there is becoming." — AN 3.76 "Like the earth property, monks, is how the f
Limited Beauty	2	Limited Beauty	the devas of Limited Beauty... | Beautiful devas" encompass the devas of Limited Beauty, the devas of Immeasurable Beauty, and
Listen	2	Listen	[2] Listen well and pay good attention. | acquiescence, addressed the Licchavis, "Listen, Master Licchavis.
Magadhans	2	Magadhans	: 'In the past there appeared among the Magadhans an impure Dhamma devised by the stained | the Blessed One was wandering among the Magadhans , he entered Rajagaha , went to the pot
Mango Stone	2	Mango Stone	Rahula [1] was staying at the Mango Stone. | Rahula was staying at the Mango Stone.
Master Assaji	2	Master Assaji	he was standing there, he said to him, "Master Assaji, how does Gotama the contemplative disc | What a bad thing to hear we have heard, Master Assaji, when we have heard that Gotama the con
Master Assalayana	2	Master Assalayana	an student Assalayana and said to him, "Master Assalayana, this Gotama the contemplative prescrib | aid to the brahman student Assalayana, "Master Assalayana, this Gotama the contemplative prescrib
Master Bhumija	2	Master Bhumija	Bhumija, "Master Bhumija, there are some brahmans & contemplativ | As he was sitting there he said to me, 'Master Bhumija, there are some brahman & contemplative
Matikas	2	Matikas	morized the Dhamma, the Vinaya, and the Matikas, but doesn't question them, doesn't pre | morized the Dhamma, the Vinaya, and the Matikas.
Mental Objects	2	Mental Objects	in consciousness." The Contemplation on Mental Objects 1. | The Contemplation of Mental Objects 1.
Migara	2	Migara	in the Eastern Monastery, the palace of Migara 's mother, together with many well-know | in the Eastern Monastery, the palace of Migara 's mother.
Mind	2	Mind	The Sixteen Defilements of Mind: abhijjha-visama-lobha, covetousness an | Fullness of Mind "Monks, whoever develops & pursues mind
Mine	2	Mine	; or "about the non-existing" ("I" and "Mine"). | implications: The concepts of "I" and "Mine" are inseparably linked; so also, in ph
Moderation	2	Moderation	chieve control over the organ of mind.' Moderation in eating "As soon, brahman, as a monk | ve control over the organ of the mind.' Moderation in eating "And when, Aggivessana, the a
Mortality	2	Mortality	There is no bargaining with Mortality & his mighty horde. | There is no bargaining with Mortality & his mighty horde.
Mundika	2	Mundika	hat occasion Uggahamana , a follower of Mundika the contemplative, [1] together with a | allika to see Uggahamana, a follower of Mundika the contemplative?" So he headed to the
Name-	2	Name-	who has arrived at this true Dhamma." Name-&-form Saying "Good, friend," having del | "Name-&-form has consciousness as its cause...
Nandaka's Dhamma-teaching	2	Nandaka's Dhamma-teaching	even though the nuns are gratified with Nandaka's Dhamma-teaching, their resolves have not yet been fulfi | e same way, the nuns are gratified with Nandaka's Dhamma-teaching, and their resolves have been fulfilled
Never	2	Never	thapala sit here on the elephant rug." "Never mind, great king. | ring,' the Blessed One indicates this: 'Never do I teach a self that is annihilated o
Nigaṇṭha-son's	2	Nigantha-son's	In the same way, whatever Saccaka the Nigaṇṭha-son's writhings, capers, & contortions, the B | h the community of monks to Saccaka the Nigaṇṭha-son's monastery.
Noble	2	Noble	s] that are called 'effacement'; in the Noble one's discipline they are called 'peace | Herein, monks, an instructed Noble disciple who takes into account the Nob
Non-percipient	2	Non-percipient	l of devas of form not listed here: the Non-percipient beings, a level in which there is no pe | A more likely reason for omitting the Non-percipient beings here is that this state, unlike
Nor	2	Nor	And if you speak no untruth, Nor work any harm for breathing things, Nor | Nor work any harm for breathing things, Nor take what is not offered, With faith an
Nutriment	2	Nutriment	r, not for holding on to?" "Yes, lord." Nutriment & Dependent Co-Arising "Monks, there ar | a and has arrived at this true Dhamma." Nutriment 9.
Nyanaponika Thera	2	Nyanaponika Thera	iven here follows the interpretation of Nyanaponika Thera in his translation of this discourse. | 8, and Anatta and Nibbana, by Nyanaponika Thera (Wheel No.
One Well-Gone	2	One Well-Gone	Now is the time, O One Well-Gone, for the Blessed One to teach the Dhamm | Now is the time, O One Well-Gone, for the Blessed One to teach the unexc
Order	2	Order	ama for refuge and to dhamma and to the Order of monks May the good Gotama accept me | ssatisfied with the Buddha and left the Order because the Buddha would not perform mi
Other	2	Other	id, 'Gotama the contemplative is dead.' Other devas said, 'He isn't dead, he's dying. | y, 'Gotama the contemplative is black.' Other people would say, 'Gotama the contempla
Overcoming	2	Overcoming	sleep, awake, talking or being silent.' Overcoming of the five hindrances "As soon, brahma | sleep, awake, talking or being silent.' Overcoming of the five hindrances "And when, Aggiv
PTS Dictionary	2	PTS Dictionary	— this term is not listed in the PTS Dictionary). | xture of two readings recognized in the PTS Dictionary: va.labhi-rathena, "in a roofed chariot
Paali	2	Paali	Comy explains by "so aha.m ," a Paali idiom, meaning literally "this I." Pecc | closely parallels the derivation of our Paali term: upa-aadaana , "taking up strongly
Paccekabuddhas	2	Paccekabuddhas	The Buddha, Paccekabuddhas, and the Disciples of the Buddha who ha | tuous" (Sappurisa) is meant the Buddha, Paccekabuddhas and the Ariya Disciples of the Buddha.
Pacittiya	2	Pacittiya	is identical with the origin story for Pacittiya 68 (see The Buddhist Monastic Code ) an | ears no relation to the origin story to Pacittiya 37 (see The Buddhist Monastic Code ), t
Pandava	2	Pandava	Do you, monks, see this Pandava mountain?" "Yes, bhante." "There was an | There was another name, monks, for this Pandava mountain, another designation.
Parable	2	Parable	you should keep this instruction on the Parable of the Saw constantly in mind, do you s | you should keep this instruction on the Parable of the Saw constantly in mind.
Passion-obsession	2	Passion-obsession	neither-pleasant-nor-painful feeling?" "Passion-obsession gets obsessed with pleasant feeling. | neither-pleasant-nor-painful feeling?" "Passion-obsession is to be abandoned with regard to pleas
Patika Sutta	2	Patika Sutta	Sunakkhatta's defection is found in the Patika Sutta (DN 24). | xtreme asceticism (as is clear from the Patika Sutta) and the Buddha wanted to make it known
Pay	2	Pay	rm not be thus'?" "No, Master Gotama." "Pay attention, Aggivessana, and answer (onl | ss not be thus'?" "No, Master Gotama." "Pay attention, Aggivessana, and answer (onl
Payaga	2	Payaga	d Adhikakka , [20] Gaya and Sundarika , Payaga and Sarassati , And the stream Bahumati | What can the Payaga and the Bahuka?
Peaceful Sage	2	Peaceful Sage	ruly had an auspicious day: so says the Peaceful Sage. | ruly had an auspicious day: so says the Peaceful Sage.
Peaked Roofed Pavilion	2	Peaked Roofed Pavilion	r Gotama was staying near Vesali in the Peaked Roofed Pavilion in the Great Wood. | I went to him at the Peaked Roofed Pavilion in the Great Wood, and there he spoke i
Peerless	2	Peerless	the Peerless devas, it is possible that one — with t | y, after death — would appear among the Peerless devas.
Piṅgalakoccha	2	Pingalakoccha	I will speak." "Yes, sir," Piṅgalakoccha the brahman responded to the Blessed On | hat its final end." When this was said, Piṅgalakoccha the brahman said to the Blessed One: "M
Pleasant	2	Pleasant	asant, lady, and in what way painful?" "Pleasant feeling is pleasant in remaining, & pai | on the other side of painful feeling?" "Pleasant feeling lies on the other side of painf
Punna Mantaniputta	2	Punna Mantaniputta	the holy life.'" "Lord, the monk named Punna Mantaniputta (Mantani's son) is esteemed by the nati | him: "Friend Sariputta, the monk named Punna Mantaniputta whom you have so often praised — instru
Purana Kassapa	2	Purana Kassapa	I recall engaging Purana Kassapa in debate. | This was the view of Purana Kassapa.
Purity	2	Purity	uddhaghosa's Visuddhimagga (The Path of Purity), the cornerstone of his Pali commentar | and to carry out the Noble Practice of Purity.
Rahu's	2	Rahu's	pot,' the 'polished-shell shave,' the 'Rahu's mouth,' the 'flaming garland,' the 'bla | pot,' the 'polished-shell shave,' the 'Rahu's mouth,' the 'flaming garland,' the 'bla
Rains	2	Rains	Then a certain monk who had spent the Rains in Rajagaha went to the Southern Mounta | " Just as in the last month of the Rains, in the autumn season when the crops ar
Reappears'	2	Reappears'	'Reappears' doesn't apply. | 'Reappears' doesn't apply.
Release	2	Release	Clear Knowing & Release "And how are the seven factors for awak | s on the other side of clear knowing?" "Release lies on the other side of clear knowing
Repudiating	2	Repudiating	Anyone who would say, 'Repudiating this All, I will describe another,' if | Anyone who would say, 'Repudiating this All, I will describe another,' if
Repulsiveness	2	Repulsiveness	ody in the body." The Reflection on the Repulsiveness of the Body "And further, O bhikkhus, a | The Reflection on the Repulsiveness of the Body And further, monks, a monk
Reviewing	2	Reviewing	e frontier region has been quelled." *["Reviewing" (paccavekkhana) is a commentarial term | "Reviewing" may occur immediately after attainment
Rādha	2	Radha	passion, delight, or craving for form, Rādha: When one is caught up [satta] there, t | delight, or craving for consciousness, Rādha: When one is caught up there, tied up t
Rājagaha	2	Rajagaha	casion the Blessed One was staying near Rājagaha on Vulture Peak mountain, not long afte | casion the Blessed One was staying near Rājagaha at the Bamboo Grove in the Squirrels' s
Satipatthana	2	Satipatthana	indicate that the intensive practice of Satipatthana which, through emphasis on bare observa | s that (1) in our text, the practice of Satipatthana is preceded by the temporary abandonmen
Saṅgha	2	Sangha	ord-of-mouth from fellow members of the Saṅgha. | lish orthodoxy whenever a member of the Saṅgha was espousing false interpretations of
Secure	2	Secure	remost of paths going to the Deathless, Secure. | remost of paths going to the Deathless, Secure.
Simbali Forest	2	Simbali Forest	next to the Hot Ashes Hell is the vast Simbali Forest, [with trees] reaching up a league, cov | "Right next to the Simbali Forest is the vast Sword-leaf Forest.
Simile	2	Simile	In other contexts, such as in the Simile of the Raft, the emphasis is upon "cros | lements (upakkilesa) mentioned in MN 7 (Simile of the Cloth) .
Slow	2	Slow	r fall onto an iron pan heated all day: Slow is the falling of the drops of water, b | r fall onto an iron pan heated all day: Slow would be the falling of the drops of wa
So Angulimala	2	So Angulimala	Why don't I kill him?" So Angulimala, taking up his sword & shield, buckling | You stop.' Why don't I question him?" So Angulimala the bandit addressed this verse to the
So King Pasenadi Kosala	2	So King Pasenadi Kosala	enadi Kosala, "Time to go, great king." So King Pasenadi Kosala said to the Blessed One, "Lord, we have | My triple robe is complete." So King Pasenadi Kosala went to the Blessed One and on arrival,
So Saccaka	2	So Saccaka	, what you think it is now time to do." So Saccaka the Nigantha, delighting in & approving | statement of Saccaka the Nigaṇṭha-son." So Saccaka the Nigaṇṭha-son, surrounded by five hu
Sona Kolivisa	2	Sona Kolivisa	famous passage where the Buddha reminds Sona Kolivisa — who had been over-exerting himself in | (in AN 6.55 ) where the Buddha reminds Sona Kolivisa — who had been over-exerting himself in
Space	2	Space	( The Infinitude of Space ) "Further, Ananda, the monk — not atte | perceptions of variety, [15] thinking: 'Space is infinite,' some monk enters upon and
Sri Lanka	2	Sri Lanka	that he was reborn many years later in Sri Lanka, where he became an arahant. | Kandy, Sri Lanka (Ceylon).
Steered	2	Steered	"Steered by the elephant trainer, the elephant t | "Steered by the Tathagata — worthy and rightly s
Stress	2	Stress	The Arising of Stress & Suffering "Thus: "From ignorance as a | The Cessation of Stress & Suffering "Now from the remainderless
Student	2	Student	g human beings, among the human race?" "Student, beings are owners of kamma, heir to ka | "Student, beings are owners of kammas, heirs of
Subhaga	2	Subhaga	cently I was staying in Ukkattha in the Subhaga forest at the root of a royal sala tree | the root of the royal sala tree in the Subhaga forest in Ukkattha and appeared in that
Subhakinha	2	Subhakinha	entirely pleasant as in the case of the Subhakinha, the gods of Refulgent Glory. | "'There is, brahma, the body named Subhakinha (Beautiful Black/Refulgent Glory) ...
Suffering	2	Suffering	The Arising of Stress & Suffering "Thus: "From ignorance as a requisite c | The Cessation of Stress & Suffering "Now from the remainderless fading and
Sunakkhatta's	2	Sunakkhatta's	The story of Sunakkhatta's defection is found in the Patika Sutta | to follow are intended as a rebuttal of Sunakkhatta's charge against the Buddha.
Sundara	2	Sundara	Mahanama, and then Uttara; Kesi, Sikhi, Sundara, and Bharadvaja. | ined state of Calm (Nibbana), Uposatha, Sundara, and Saccanama.
Sundarika	2	Sundarika	9] Bahuka and Adhikakka , [20] Gaya and Sundarika , Payaga and Sarassati , And the stream | What can Sundarika bring to pass?
Surely	2	Surely	er pleasure than you, friend Gotama.' "'Surely the venerable Niganthas said that rashl | Pukkusati: "Surely, the Teacher has come to me!
Sutta Pitaka	2	Sutta Pitaka	, as given in the Discourse Collection (Sutta Pitaka), is as follows: (1) self-illusion, (2) | life that are found nowhere else in the Sutta Pitaka.
Sword-leaf Forest	2	Sword-leaf Forest	next to the Simbali Forest is the vast Sword-leaf Forest. | "Right next to the Sword-leaf Forest is the vast Lye-water River.
Sāriputta	2	Sariputta	Assaji was also the person who taught Sāriputta the wanderer the brief gist of the Budd | ha's teaching that immediately inspired Sāriputta to attain the Dhamma eye.
Sāti's	2	Sati's	in case any of them might be swayed by Sāti's position. | see how the Buddha would have attacked Sāti's misunderstanding had Sāti stated that h
Tatha	2	Tatha	Gandhara, Pindola and Upasabha, Nitha, Tatha, Sutava, Bhavitatta. | , Upanemisa, Nemisa, Santacitta, Sacca, Tatha, Viraja, and Pandita.
Tathagata's Awakening	2	Tathagata's Awakening	nes has conviction, is convinced of the Tathagata's Awakening: 'Indeed, the Blessed One is worthy and | onk has conviction, is convinced of the Tathagata's Awakening: 'Indeed, the Blessed One is worthy and
Tathagatas	2	Tathagatas	s?" "No, lord, I haven't." "Ratthapala, Tathagatas do not give the going-forth to anyone w | rd, my robes & bowl are not complete." "Tathagatas do not give full acceptance to one whos
Ten Powers	2	Ten Powers	nd an unliberated mind as unliberated.' Ten Powers of a Tathagata 9. | ith in, and love for, the Master of the Ten Powers (i.e.
Thanissaro Bhikkhu	2	Thanissaro Bhikkhu	g of Kamma " in The Wings to Awakening (Thanissaro Bhikkhu). | ussion, see The Wings to Awakening , by Thanissaro Bhikkhu.
The Buddhist Monastic Code	2	The Buddhist Monastic Code	the origin story for Pacittiya 68 (see The Buddhist Monastic Code ) and the origin story for the rules co | o the origin story to Pacittiya 37 (see The Buddhist Monastic Code ), the rule that forbids monks from eat
The Commentary	2	The Commentary	his day forward, for life." [5] Notes 1 The Commentary states that LongNails (Dighanakha) was | w clear seeing" or "insighted insight." The Commentary states that the half month mentioned he
The Ideal Lover	2	The Ideal Lover	ringly Him the Tranquil Sage has called The Ideal Lover of Solitude. | ringly Him the Tranquil Sage has called The Ideal Lover of Solitude.
The Infinitude	2	The Infinitude	( The Infinitude of Space ) "Further, Ananda, the monk — | ( The Infinitude of Consciousness ) "Further, Ananda, th
The Reflection	2	The Reflection	es contemplating the body in the body." The Reflection on the Repulsiveness of the Body "And f | es contemplating the body in the body." The Reflection on the Modes of Materiality (Elements,
Then Brahma Sahampati	2	Then Brahma Sahampati	"Then Brahma Sahampati , having known with his own awareness t | l people the refined, sublime Dhamma.' "Then Brahma Sahampati, thinking, 'The Blessed One has given h
Then Mara	2	Then Mara	, "There is no other, higher escape."' "Then Mara, the Evil One, taking possession of an | has pulled out becoming by the root!' "Then Mara, the Evil One, taking possession of an
Theravada	2	Theravada	of good will that are often chanted in Theravada countries. | is often chanted at house blessings in Theravada countries.
Tomorrow	2	Tomorrow	one grow Today itself should one bestir Tomorrow death may come — who knows? | one grow Today itself should one bestir Tomorrow death may come — who knows?
Tranquil Sage	2	Tranquil Sage	ly By day, by night, untiringly Him the Tranquil Sage has called The Ideal Lover of Solitude. | ly By day, by night, untiringly Him the Tranquil Sage has called The Ideal Lover of Solitude.
Udaayi	2	Udaayi	did so in the following saying: "Thus, Udaayi, do I teach the abandoning even of the | Do you see Udaayi, any fetter fine or coarse, that I did
Unattained	2	Unattained	That which is past is left behind Unattained is the "yet-to-come." But that which is | That which is past is left behind Unattained is the "yet-to-come." But that which is
Unbinding'	2	Unbinding'	that freedom from disease; this is that Unbinding' — and you on your part did not know fre | that freedom from Disease; this is that Unbinding' — and you on your part were to know tha
Unflagging	2	Unflagging	"Unflagging persistence was aroused in me, and unmu | f mindful of 'those mental qualities.' "Unflagging persistence was aroused in me, and unmu
Unprovoked	2	Unprovoked	Knowledge & vision arose in me: 'Unprovoked is my release. | Knowledge & vision arose in them: 'Unprovoked is our release.
Uparittha	2	Uparittha	r a long time on this Isigili mountain, Uparittha... | "Arittha, Uparittha, Tagarasikhi, Yasassi, Sudassana, Piyad
Upatissa	2	Upatissa	Tissa, Upatissa, Upasidari, the destroyer of the bonds | in the holy life know you?" "My name is Upatissa , friend, and my companions in the holy
Vajirapāṇin	2	Vajirapanin	ow on that occasion the spirit (yakkha) Vajirapāṇin [Thunderbolt-in-Hand], carrying an iron | t here." The Blessed One saw the spirit Vajirapāṇin, as did Saccaka the Nigaṇṭha-son.
Vebhara	2	Vebhara	he said this: "Do you, monks, see this Vebhara mountain?" "Yes, bhante." "There was an | There was another name, monks, for this Vebhara mountain, another designation.
Vedas	2	Vedas	ce, that is to say in the study [of the Vedas]; [2] so too, good Gotama, for these ar | It is not possible to learn the three Vedas by heart in one day [Commentary].
Venerable Ananda	2	Venerable Ananda	Ananda, "Venerable Ananda, just as if a man seeking a single open | It so happened that [the] Venerable Ananda had listened to that conversation and w
Vepulla	2	Vepulla	Do you, monks, see this Vepulla mountain?" "Yes, bhante." "There was an | There was another name, monks, for this Vepulla mountain, another designation.
